title,abstract,year,Topic_ID,Dimension,Objective,Method,Result
{Digital governance and collaborative strategies for improving service quality},"This paper explores changes in traditional political linkages and argues for greater use of a collaborative model (Figure 2) for achieving citizen access with information communication technologies (ICTs). There is substantial evidence that a 'paradigm' shift from bureaucracy-driven electronic to collaborative digital governance is taking place. Common factors which encourage or limit adoption of ICTs by governmental agencies include public administrators' distrust of non-professionals, government officials' fear of loss of control, lack of sufficient funding. Prospects for the future expansion of digital governance to deliver higher quality less costly government services in the current strict fiscal environment are assessed. The paper highlights case studies of emerging applications in selected cities and states where advanced ICT applications are being used to achieve operating efficiencies, program effectiveness, and productivity. Examples are given which can serve as 'benchmarks' for collaborative reforms. Digital governance strategies can promote both the politics and performance management potential for technological collaboration well as improve access to and satisfaction with government services. Emerging collaborative relationships among governments and public as well as private agencies not only result in a more efficient service delivery, but also lead to more accountable and interoperable administrative structure.",2014,5.0,Government organizational structure,,,Digital governance strategies can promote both the politics and performance management potential for technological collaboration well as improve access to and satisfaction with government services.
{Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies},"The data science technologies of artificial intelligence (AI), Internet of Things (IoT), big data and behavioral/predictive analytics, and blockchain are poised to revolutionize government and create a new generation of GovTech start-ups. The impact from the {\^{a}}€ smartification' of public services and the national infrastructure will be much more significant in comparison to any other sector given government's function and importance to every institution and individual. Potential GovTech systems include Chatbots and intelligent assistants for public engagement, Robo-advisors to support civil servants, real-time management of the national infrastructure using IoT and blockchain, automated compliance/regulation, public records securely stored in blockchain distributed ledgers, online judicial and dispute resolution systems, and laws/statutes encoded as blockchain smart contracts. Government is potentially the major {\^{a}}€ client' and also {\^{a}}€ public champion' for these new data technologies. This review paper uses our simple taxonomy of government services to provide an overview of data science automation being deployed by governments world-wide. The goal of this review paper is to encourage the Computer Science community to engage with government to develop these new systems to transform public services and support the work of civil servants.",2019,3.0,Departmental responsibilities and administrative power,,,
"{A data-driven public sector: Enabling the strategic use of data for productive, inclusive and trustworthy governance}","It is well understood that data play an important role in the way in which twenty-first century public services are administered. In fact, the successful implementation of the digital government approaches which the OECD recommends rely on this foundation of ‘data' to deliver on the potential of twenty-first century government. Over the last decade there has been an increased awareness of the role of data through the Open Government Data movement. Its success in seeing governments open up its information for reuse both inside, and outside, the public sector has proven significant in putting data at the heart of the transformation agenda. This Working Paper argues that governments now need to go further. The question of how data can be collected, processed, shared and reused is one that countries need to grapple with and place at the core of their thinking about digital transformation. Consequently, governments will move from a focus on the external publication of data towards a highly adept public service that is skilled in the recognition and use of data as a core component of a highly functioning state and the effective design and delivery of its activities.",2019,4.0,Leadership,"Consequently, governments will move from a focus on the external publication of data towards a highly adept public service that is skilled in the recognition and use of data as a core component of a highly functioning state and the effective design and delivery of its activities.",,
{Big data and transformational government},"The big data phenomenon is growing throughout private and public sector domains. Profit motives make it urgent for companies in the private sector to learn how to leverage big data. However, in the public sector, government services could also be greatly improved through the use of big data. Here, the authors describe some drivers, barriers, and best practices affecting the use of big data and associated analytics in the government domain. They present a model that illustrates how big data can result in transformational government through increased efficiency and effectiveness in the delivery of services. Their empirical basis for this model uses a case vignette from the US Department of Veterans Affairs, while the theoretical basis is a balanced view of big data that takes into account the continuous growth and use of such data. This article is part of a special issue on big data and business analytics. {\textcopyright} 1999-2012 IEEE.",2013,2.0,Leadership,,,"However, in the public sector, government services could also be greatly improved through the use of big data."
"{Towards a smart State? Inter-agency collaboration, information integration, and beyond}","Information technologies (IT) can now be considered one of the key components of government administrative reform. The potential is even greater when working across organizational boundaries. Unfortunately, inter-agency collaboration appears to face an even greater number of challenges than similar IT initiatives within a single organization. The challenges include data and technological incompatibility, the lack of institutional incentives to collaborate, and the politics and power struggles around a pervasive silo structure in most governments, among many others. This paper argues that there are clear trends towards greater inter-organizational collaboration, information sharing, and integration, which could lead, in the near future, to what might be called a smart State. The paper starts discussing the promises and challenges that have already been identified for government information sharing and integration initiatives. Then it describes two trends in terms of inter-organizational collaboration and information technologies in government settings. The paper ends by providing reflections about the technical and political feasibility, as well as the social desirability, of an integrated virtual State in which the executive, legislative, and judicial branches1 are actively collaborating and sharing information through the use of advanced information technologies, sophisticated coordination mechanisms, shared physical infrastructure, and, potentially, new organizational and institutional arrangements. {\textcopyright} 2012 - IOS Press and the authors. All rights reserved.",2012,5.0,Government organizational structure,,,
{Digital Transformation of Public Services as State Transformation: An Overview of the Experience in Turkey During the Pandemic},"This paper discusses the contextual aspects of the digital transformation of the Turkish public administration system during the COVID-19 pandemic. It argues that the accelerating process of the digitalization of public services during the pandemic should be understood in connection with the ongoing, broader transformation of the Turkish state into the neoliberal regulatory state that has been ideologically framed as a facilitator of market-led economic development. This argument is based on the “state transformation approach” developed as an alternative analytical tool to address governance outcomes as a manifestation of neoliberally informed shifts in the location of state power, in the groups of actors that exercise state power, and in the ideas used to rationalize the exercise of it.",2023,6.0,Government organizational structure,,"This argument is based on the “state transformation approach” developed as an alternative analytical tool to address governance outcomes as a manifestation of neoliberally informed shifts in the location of state power, in the groups of actors that exercise state power, and in the ideas used to rationalize the exercise of it.",
{Transformative Adaptive Leadership in the Digital Age: a Systematic Review of Emerging Paradigms and Socio-Economic Implications for Organizational Resilience},"This paper explores the evolving nature of leadership amidst rapid technological advancements and socio-economic shifts. It highlights the limitations of traditional leadership models in addressing complex challenges posed by digital transformation and global disruptions. The study synthesizes research on the intersection of transformational and adaptive leadership, emphasizing the need for an integrated approach. Findings suggest that leaders who combine transformational vision with adaptive strategies can better navigate technological changes, foster innovation, and enhance organizational resilience. This systematic review also outlines significant challenges, such as balancing technological integration and human factors, and offers insights into effective leadership practices in the digital era.",2024,2.0,Leadership,,"The study synthesizes research on the intersection of transformational and adaptive leadership, emphasizing the need for an integrated approach.",
{Collaborative digital government in Mexico: Some lessons from federal Web-based interorganizational information integration initiatives},"The use of information and communication technologies in government has been characterized as one powerful strategy for administrative reform. From recent experiences around the world, it seems clear that in order to enjoy some of the greatest benefits of digital government, the integration of information across organizational boundaries is necessary. However, these digital government initiatives face additional challenges, since the required level of interorganizational collaboration and trust is often not supported by existing institutional arrangements, organizational structures, and managerial processes. In fact, many institutions and administrative structures found in government contexts offer incentives for single-agency work only, which produces stove-pipe systems. Based on an extensive case study in the Mexican federal government, this paper explores how certain institutional arrangements and organizational structures can enable or hinder cross-agency collaboration and consequently, interorganizational information integration. {\textcopyright} 2007 Elsevier Inc. All rights reserved.",2007,5.0,Government organizational structure,,,
{One step forward and two steps back: E-government policies in practice},"A central goal of e-government policy is to increase efficiency in public administration, and one way to increase efficiency is via the increased use of automation and rule-based decision making. The use of data to streamline processes also has a prominent role in public policy today. This chapter specifically discusses the role of discretion in data-driven public administration. The empirical setting for this discussion is the Danish public sector which has been among the first movers to implement e-government solutions. Denmark has a long tradition of issuing public policies defining goals of front-office e-services as well as back-office digitization. Rule-based decision-making systems represent an ideal driver for actualizing the visions outlined in these policies. This chapter presents an experience where a rule-based decision-making system was introduced in an agency which handles complex cases requiring in-depth discretion by specialized professional caseworkers. This experience provides a platform for discussing possible challenges when implementing policy goals in an organizational context. This chapter also addresses the concept of “digital nomos”, the administrative norms of a digitized public administration.",2018,3.0,Departmental responsibilities and administrative power,,The article followed a qualitative research approach.,"It demonstrated how digitally transformed local government can solve service delivery problems through the deployment of digital technologies that improve decision-making, cut costs, streamline operations, and offer efficient services."
{Rethinking the Role of Local Government in Service Delivery in South Africa: Towards Digital Transformation},"The article provided insights into why local government and service delivery must be rethought in light of digital transformation. It exposed the significance of digital transformation in solving local government and service delivery challenges. The article followed a qualitative research approach. It employed document analysis and literature review as data collection instruments. It argued that digital transformation can help local governments in South Africa fulfil constitutional obligations and meet policy goals. It demonstrated how digitally transformed local government can solve service delivery problems through the deployment of digital technologies that improve decision-making, cut costs, streamline operations, and offer efficient services. The article revealed that the digital divide, lack of technical expertise, data security concerns and resource constraints are some of the challenges that can affect the digital transformation of local government and service delivery in South Africa. These challenges must be resolved for digital transformation to play a significant role in improving the effectiveness of local government in service delivery. The article recommended that local governments in South Africa digitally transform in ways that foster equality and deliver local government services to all citizens. The article contributes to scholarship advocating for public sector innovation broadly, and specifically, illustrates the criticality of embracing digital transformation of local government and service delivery. Keywords: Digital Transformation, Digital Technologies, Local Government, South Africa, Service Delivery",2023,1.0,Public service delivery,,"Our analysis, which combines desk research and semi-structured expert interviews, reveals that flexible, horizontal approaches are on the rise.",
{Digital transformation: From hierarchy to network-based collaboration? The case of the German “Online Access Act”},"To unlock the full potential of ICT-related public sector innovation and digital transformation, governments must embrace collaborative working structures and leadership, is commonly argued. However, little is known about the dynamics of such collaborations in contexts of hierarchy, silo cultures, and procedural accountability. A widely voiced but empirically insufficiently substantiated claim is that bringing cross-cutting digital endeavours forward requires more lateral, network-based approaches to governance beyond traditional Weberian ideals. We test this claim by shedding light on three distinct challenges (complexity, risk, and power imbalance) encountered when implementing the specific collaborative case of the German Online Access Act (OAA) and by examining how they have been addressed in institutional design and leadership. Our analysis, which combines desk research and semi-structured expert interviews, reveals that flexible, horizontal approaches are on the rise. Taking a closer look, however, vertical coordination continues to serve as complementary means to problem-solving capability.",2021,9.0,Government operating logic and processes,,,"These initiatives have demonstrably improved service accessibility, reduced processing times, minimized corruption opportunities, and enhanced government responsiveness."
{Digital Transformation in Public Services},"Digital transformation has fundamentally reshaped the landscape of public service delivery worldwide, with e-government emerging as a critical mechanism for enhancing government efficiency, transparency, and citizen engagement. This article provides a comprehensive analysis of e-government implementation in Indonesia, examining the trajectory of digital transformation in public services, the institutional frameworks supporting this transition, and the multifaceted impacts on service quality and governance outcomes. Through systematic literature review and critical policy analysis, this research explores the evolution of Indonesia's e-government initiatives from early adoption to current comprehensive digital service platforms, investigating both successes and persistent challenges. The findings reveal that Indonesia has made substantial progress in developing e-government infrastructure and applications across national and local government levels, with notable achievements including integrated digital identity systems, online business licensing platforms, and citizen complaint management systems. These initiatives have demonstrably improved service accessibility, reduced processing times, minimized corruption opportunities, and enhanced government responsiveness. However, implementation remains uneven across regions and government institutions, constrained by factors including digital infrastructure disparities, limited digital literacy among citizens and officials, organizational resistance to change, inadequate interoperability between systems, and cybersecurity vulnerabilities. The research identifies critical success factors for effective e-government implementation including strong leadership commitment, adequate resource allocation, comprehensive capacity building programs, citizen-centric design principles, robust legal frameworks, and collaborative partnerships between government, private sector, and civil society.",2025,1.0,Public service delivery,"This paper examines the transformative potential of e-government in public administration, focusing on its capacity to enhance service delivery, transparency, accessibility, cost efficiency, and civic engagement.",,
"{Toward a theory of e-government: Challenges and opportunities, a literature review}","This paper examines the transformative potential of e-government in public administration, focusing on its capacity to enhance service delivery, transparency, accessibility, cost efficiency, and civic engagement. The study identifies key challenges, including inadequate technological infrastructure, cybersecurity vulnerabilities, resistance to change within public institutions, and a lack of public awareness about e-government services. These barriers hinder the seamless operation and adoption of digital government initiatives. Conversely, the study highlights significant opportunities such as streamlined service delivery, enhanced transparency through real-time access to government data, increased accessibility for marginalized and remote communities, substantial cost savings, and greater civic engagement via digital platforms. Addressing these challenges through targeted strategies— enhancing technological infrastructure, bolstering cybersecurity, managing organizational change, and raising public awareness—can help policymakers and public administrators implement more effective and inclusive e-government initiatives. Additionally, the integration of these digital solutions can drive sustainable development and digital inclusion, fostering social equity and economic growth. By leveraging these opportunities, governments can achieve more efficient, transparent, and accountable governance. Ultimately, the successful implementation of e-government can transform the relationship between citizens and the state, building trust and fostering a more participatory democratic process.",2024,1.0,Public service delivery,The application and dissemination of data models serve for adequate semantic interpretation during information sharing and aim to achieve semantic interoperability.,"Therefore, we give some recommendations to introduce the data-centric approach that would enable the use of disruptive digital technologies and support the development of digital government in Russia.",
{Data-centricity as the key enabler of digital government: Is Russia ready for digital transformation of public sector},"The leaders of digitalization are developing digital government as a platform that stimulates public-private partnerships in the creation of innovative applications and services. The primary and permanent core of this platform is data, and it is the data ready for the information sharing and the provision of seamless public services. Growing digital world has formed the culture of interaction between government and society based on Open Data. The great importance has the ability of consumers to understand the meaning (semantics) determined by the provider, which is essential for the publication of Linked Open Data. The application and dissemination of data models serve for adequate semantic interpretation during information sharing and aim to achieve semantic interoperability. Both data-centric and model-oriented approaches are fundamental for the digital transformation of public administration. In this paper, we give a brief review of the leading countries digitalization experience and use it to outline the criteria characterizing the implementation of a data-centric paradigm. We have conducted the study showing if Russian e-government is ready for the digitalization in terms of the following areas: (1) the practice of information sharing; (2) the preconditions for the shift to a data-centric and model-oriented paradigm; (3) the regulatory barriers of digital transformation. We believe that the lack of data-centricity can become a serious obstacle to fulfill the plans of the “Digital Economy of Russian Federation” program. Therefore, we give some recommendations to introduce the data-centric approach that would enable the use of disruptive digital technologies and support the development of digital government in Russia.",2019,10.0,Departmental responsibilities and administrative power,,This change offers an opportunity to revisit the strategic approach on using Information and Communication Technologies (ICTs) to improve the delivery of public value.,This change offers an opportunity to revisit the strategic approach on using Information and Communication Technologies (ICTs) to improve the delivery of public value.
{Collaborative Approach on Digital Government Transformation in West Java.},"The world is witnessing exponential growth and rapid change brought about by the advent of the digitalisation era. This change offers an opportunity to revisit the strategic approach on using Information and Communication Technologies (ICTs) to improve the delivery of public value. Considering that governments around the world are now facing declining levels of public trust. Using so-called digital transformation, governments adapt the wide use of ICTs to better support government functions, services, and citizens, encouraging their participation in policy-making processes. Successful government digital transformation often depends on the ability of multiple government or non-government organisations to collaborate towards shared objectives. However, most governments are far from fully exploiting the benefits of ICTs, and often forget that in some social groups, access to ICTs is limited at the point of digital inequality. This article provides an overview of how the Indonesian local government implements its digital-based policy, which is centered on an electronic-based government system in Indonesia (SPBE), linking cross-sectoral central government agencies. In recent years, government organisations have spent a large part of their budgets on information and communication systems and rely on these systems for their functioning. However, the complexity of the digital transformation still requires considerable effort, especially when it comes to a lack of ICT infrastructure, human resources, and bureaucratic culture. By using qualitative methods, knowledge is formed through the perspective and way of interpretation that comes from the participants included in the research, not limited to the research implementer. The data will be collected through literature study, in-depth interviews, and observations. The aim of the research is to describe how collaborative governance contributes to the policy process of using ICTs to deliver inclusive policies by local governments.",2023,6.0,Government organizational structure,,"Through a qualitative approach, utilizing both literature review and in-depth interviews, findings reveal that digitalization not only addresses public grievances effectively but also plays a vital role in establishing principles of good governance.","By investigating digitalized complaint management and service processes, this research highlights how digital platforms can streamline responses to community needs and foster improved administrative practices."
{Digitalization: Innovation in public services (Case Study Implementation of the Complaints Service Unit in Surakarta (ULAS) and Klaten Regency Industry and Manpower Office)},"This study examines the impact of digital transformation on public service innovation through a comparative analysis of the Surakarta Complaints Service Unit (ULAS) and the Industry and Manpower Office in Klaten Regency. As digitalization becomes a cornerstone of modern governance, it offers critical pathways to enhancing efficiency, responsiveness, and transparency within public administration. By investigating digitalized complaint management and service processes, this research highlights how digital platforms can streamline responses to community needs and foster improved administrative practices. Through a qualitative approach, utilizing both literature review and in-depth interviews, findings reveal that digitalization not only addresses public grievances effectively but also plays a vital role in establishing principles of good governance. This study underscores the significance of digital transformation in elevating public sector responsiveness and accountability, providing valuable insights for other regions aiming to leverage technology in public service reforms.Penelitian ini mengkaji dampak transformasi digital terhadap inovasi layanan publik melalui analisis komparatif pada Unit Layanan Aduan Surakarta (ULAS) dan Dinas Perindustrian dan Tenaga Kerja Kabupaten Klaten. Digitalisasi telah menjadi landasan dalam tata kelola modern, menawarkan jalur penting untuk meningkatkan efisiensi, responsivitas, dan transparansi dalam administrasi publik. Dengan meneliti manajemen pengaduan dan proses layanan yang terdigitalisasi, penelitian ini menyoroti bagaimana platform digital dapat menyederhanakan respons terhadap kebutuhan masyarakat dan mendorong praktik administratif yang lebih baik. Melalui pendekatan kualitatif, menggunakan tinjauan pustaka dan wawancara mendalam, temuan menunjukkan bahwa digitalisasi tidak hanya secara efektif menangani keluhan publik tetapi juga berperan penting dalam penerapan prinsip tata kelola yang baik. Studi ini menegaskan pentingnya transformasi digital dalam meningkatkan responsivitas dan akuntabilitas sektor publik, serta memberikan wawasan berharga bagi daerah lain yang ingin memanfaatkan teknologi dalam reformasi layanan publik.",2024,9.0,Government operating logic and processes,"This research aims to identify the role of transformational, data-driven, and cross-sectoral leadership in managing digital transformation in the public sector, with a focus on the challenges and opportunities involved.","A qualitative approach through a literature review is employed to analyse various relevant academic sources, including journals, books, and reports from 2015 to 2024.",
{Evolution of Public Sector Leadership in the Era of Digital Transformation},"Digital transformation has brought significant changes to the public sector, demanding adaptive, data-driven, and collaborative leadership to enhance efficiency and service quality. This research aims to identify the role of transformational, data-driven, and cross-sectoral leadership in managing digital transformation in the public sector, with a focus on the challenges and opportunities involved. A qualitative approach through a literature review is employed to analyse various relevant academic sources, including journals, books, and reports from 2015 to 2024. Data collection techniques involve searching academic databases such as Scopus, Web of Science, and Google Scholar. The findings reveal that transformational leadership significantly contributes to the success of digital transformation by fostering innovation and driving organisational cultural change. Data-driven leadership enhances accountability and efficiency, while cross-sectoral collaboration strengthens the digital ecosystem through multi-stakeholder participation. These findings also highlight key challenges, including organisational cultural resistance, technological infrastructure limitations, and data security issues. The study concludes by emphasising the importance of public sector leaders integrating technology-driven, data-informed, and participatory strategies to design sustainable digital transformations. The practical implications of this research include strategic guidance for the public sector to navigate dynamic digital changes.",2025,2.0,Leadership,"Background: The purpose of this study is to assess the impact of digital technologies on local government service delivery with a focus on digitalisation and the digital revolution, in the wake of a global digital revolution which is transforming many countries across the globe.","Methods: The qualitative research methods are employed for this study, primarily through the application of systematic literature review as well as secondary data analysis.","Results: The findings of this study reveal that the digital transformation in local government provides greater accessibility to local government, improved service delivery and the improvement of overall citizen participation in South African municipalities."
{Assessing the impact of digital technologies on service delivery in local government},"Background: The purpose of this study is to assess the impact of digital technologies on local government service delivery with a focus on digitalisation and the digital revolution, in the wake of a global digital revolution which is transforming many countries across the globe. Aim: To understand the potential benefits and challenges of digital transformation in local government. Methods: The qualitative research methods are employed for this study, primarily through the application of systematic literature review as well as secondary data analysis. The secondary data were collected and assessed to examine e-governance initiatives. The study used Google Scholar, ISI, ProQuest and Scopus search engines to locate these studies using keywords such as e-government, local government, service delivery and digital transformation. Results: The findings of this study reveal that the digital transformation in local government provides greater accessibility to local government, improved service delivery and the improvement of overall citizen participation in South African municipalities. Conclusion: This study concludes that digital transformation presents chances to enhance service provision and good governance. However, achieving this will require addressing challenges related to the adoption of digital technology in local government. Therefore, local government must invest in infrastructure and the development of digital skills. Contribution: This article has the potential to add to theory, policy and practice in terms of e-government and digital technologies in local government in the South African context.",2025,1.0,Public service delivery,,"Qualitative methods were used, conducting in-depth interviews, advanced observations, and detailed data collection from government agencies, NGOs, and citizens of West Java, Indonesia.",
{Collaborative Approach on Digital Government Transformation: In-Depth Analysis from Expert Interview},"Digital transformation changes how private and public organisations conduct their business, stressing the importance of collaboration with various stakeholders. The public sector, especially local government, is forced by citizens' demands to change how it operates. This research examines the characteristics of existing literature on collaborative governance and digital transformation and explores the unevenness of digital transformation due to the broad autonomy granted to local governments. Qualitative methods were used, conducting in-depth interviews, advanced observations, and detailed data collection from government agencies, NGOs, and citizens of West Java, Indonesia. The enquiries reveal that governments faces silos and fragmented approaches. The results contribute to the literature, serve as a reference for improving the role of local government in collaborative digital transformation, and provide greater legitimacy in the public policy process. In the context of local government, the success of digital transformation initiatives in West Java can be attributed to effective collaboration and facilitative leadership from implementing the Penta-helix strategy and establishing Jabar Digital Service (JDS) as a dedicated unit for managing digital transformation.",2024,4.0,Leadership,,"Employing a qualitative methodology, the study utilizes literature review and library research to analyze various case studies and reports on digital initiatives in public administration.","These innovations have improved transparency, accessibility, and responsiveness in public services."
{Harnessing Digital Transformation for Improved Public Service Delivery: Lessons from Global Administrative Practices},"This article examines the impact of digital transformation on the efficiency and effectiveness of public service delivery, drawing lessons from global administrative practices. Employing a qualitative methodology, the study utilizes literature review and library research to analyze various case studies and reports on digital initiatives in public administration. The research identifies key strategies and technologies that have significantly enhanced service delivery, including e-governance platforms, mobile applications, and data analytics. These innovations have improved transparency, accessibility, and responsiveness in public services. Furthermore, the article explores the challenges faced by governments in implementing digital transformation, such as digital divide issues, cybersecurity concerns, and resistance to change among public officials. The findings highlight the critical factors for successful digital transformation, such as strong leadership, stakeholder engagement, and continuous capacity building. The study also underscores the importance of a tailored approach, considering the unique socio-economic and cultural contexts of different countries. The insights gained from this research provide valuable guidance for policymakers and practitioners aiming to leverage digital technologies for enhanced public service delivery. Ultimately, this article contributes to the growing body of knowledge on digital governance and its potential to create more efficient, equitable, and inclusive public administration systems.",2024,1.0,Public service delivery,,A mixed-approaches design employing qualitative and quantitative methods achieved research aims.,"Qualitative studies revealed that automation, real-time data sharing, transparency, and public involvement improve efficiency and accountability."
{Evaluating the Impact of Digital Transformation on Public Service Delivery Efficiency and Accountability},"The digital revolution transforms public administration, notably service delivery efficiency and accountability. According to this study, the digital tools and platforms used by governments worldwide impact public service delivery efficiency and accountability. This study examines how digital technologies like e-governance and data analytics influence public sector operations and how organisational culture and leadership might offset these effects. A mixed-approaches design employing qualitative and quantitative methods achieved research aims. Semi-structured interviews and focus groups with public sector workers and others produced qualitative data, while surveys and secondary data analysis acquired quantitative data. Thematic analysis was done in NVivo for qualitative data, while descriptive statistics, correlation, and regression were done in SPSS for quantitative data. Quantitative analysis indicates that digital transformation strongly impacts service delivery efficiency (R² = 0.42, F (3, 246) = 15.67, p < 0.001) and accountability (R² = 0.36, F (3, 246) = 12.29, p < 0.001). Significant predictors of service delivery efficiency and accountability include digital transformation ($\beta$ = 0.45, p < 0.001), organisational culture ($\beta$ = 0.35, p < 0.01), and leadership ($\beta$ = 0.32, p < 0.05). Qualitative studies revealed that automation, real-time data sharing, transparency, and public involvement improve efficiency and accountability. This research found that digital transformation boosts public administration efficiency and accountability. Implementation needs a supportive workplace and good leadership. This study argues that governments should encourage digital adoption, address data privacy concerns, and close the digital divide to provide inclusive and equitable digital services.",2025,9.0,Government operating logic and processes,,We use the resale price of public flats to test whether this wealth formation can potentially increase the likelihood of having more children.,"We find a negative long-run effect: a unit increase in the prices of resale flats reduces the total fertility rate (TFR) by 0.0036, statistically significant at 1%."
{Challenges and Opportunities of Digital Transformation in the Public Sector in Transition Economies: Examination of the Case of Uzbekistan},"A key feature of the demographic transition in prosperous East Asian and other developing Southeast Asian states is fertility decline. Various pro-natalist policy measures, including baby bonuses and universal child care, have been undertaken by governments in the region, often with disappointing results. Like other social institutions in modern societies, housing can play a vital role in shaping fertility decisions, but its effect on fertility has largely remained unexamined. The ambiguous effect of housing affordability found in existing literature constrains the ability of governments to truly tap in to its potential to curtail fertility decline. We seek to address this gap by empirically examining this often-neglected relationship between house prices and fertility rates. We examine the relationship through the mechanism of housing wealth formation in Singapore, a country with one of the lowest replacement levels in the region but also with one of the largest public housing markets in the world. We use the resale price of public flats to test whether this wealth formation can potentially increase the likelihood of having more children. By doing a cointegration analysis of housing, income, and fertility, we confirm the “no flat, no child” belief prevalent among young Singaporeans. We find a negative long-run effect: a unit increase in the prices of resale flats reduces the total fertility rate (TFR) by 0.0036, statistically significant at 1%. Income is also found to negatively affect fertility. The variables included in the error correction model are also sensitive to disequilibrium. The resale prices also Granger cause the TFR both in the short and long run, and the effect is bidirectional. We emphasize how imperative it is for policy makers to seriously consider this effect in crafting housing and population policies. Pro-natalist measures may prove inadequate if other aspects of family living in Singapore do not significantly change. Governments faced by a st",2021,4.0,Leadership,"It focuses on how ICT is framed, its functional roles, and the tools it offers to support governance processes.","Recognizing the absence of a comprehensive framework, the study proposes adapting the “Integrative Framework for Collaborative Governance,” positioning ICT as an operational, non-human participant in joint capacity for action while trust and value-based decision-making remain human-centered.",
{Redefining Collaborative Governance in the Digital Age: insights from an integrative systematic review on the role of ICT in collaboration},"Governments increasingly face wicked and complex problems that demand innovative approaches and multisectoral collaboration. The “collaborative governance” concept emphasizes government-led coordination among public, private, and civil society actors to foster consensus and collective action. Simultaneously, Information and Communication Technology (ICT) has emerged as a transformative force in governance, facilitating leadership, trust-building, and stakeholder participation. ICT remains peripheral in foundational collaborative governance frameworks despite its potential, revealing a critical conceptual gap in understanding its role. This study addresses this gap through a systematic review of two decades of academic literature (2003–2023). It focuses on how ICT is framed, its functional roles, and the tools it offers to support governance processes. The findings highlight ICT's capacity to reshape leadership dynamics, foster trust in distanced communication, and enhance participatory mechanisms. Recognizing the absence of a comprehensive framework, the study proposes adapting the “Integrative Framework for Collaborative Governance,” positioning ICT as an operational, non-human participant in joint capacity for action while trust and value-based decision-making remain human-centered. By bridging public administration and ICT scholarship, this research advocates for a paradigm shift that integrates ICT into collaborative strategies for addressing wicked problems. It underscores the necessity of sociotechnical approaches to governance and offers actionable insights for policymakers and practitioners navigating the complexities of an increasingly digital and interconnected world.",2025,10.0,Departmental responsibilities and administrative power,This research aims to elucidate the degree to which organizations and management practices facilitate the implementation of digital transformation within public service frameworks.,,
{Organizational and Managerial Determinants in the Implementation of Digital Transformation of Government Public Services: A Systematic Literature Review},"The substantial modifications enacted by governmental entities in the pursuit of digital transformation for the delivery of public services in the contemporary era have exerted a profound influence on the public service paradigm. Nevertheless, the execution of these transformations has encountered numerous obstacles in developing nations, including institutional inefficiencies, inadequate intersectoral coordination, and a workforce characterized by relatively low skill levels, which collectively hinder effective governance. This research aims to elucidate the degree to which organizations and management practices facilitate the implementation of digital transformation within public service frameworks. It adopts an organized literature review, enhanced through revelations from bibliometric research. The results reveal that collaborative efforts among scholars remain predominantly concentrated in developed nations such as the Netherlands, Germany, and Sweden, whereas contributions from developing nations including Brazil, Pakistan, and Indonesia are markedly limited. Additionally, the oversight of digitalization within the scope of the readiness of an organization continues to significantly shape the efficacy of the implementation of digital transformation plans. Also, the terms discerned in the studied articles imply that the concept of 'digital transformation' is a significant theme linked with numerous subjects such as 'egovernment,' 'public services,' and 'innovation.' They further suggest the onset of a transition towards broader inquiries into the employment of artificial intelligence (AI), data-driven governance, and adjustments to governmental challenges. This study acknowledges certain limitations regarding data sources, which are exclusively derived from the Scopus database, thereby constraining the findings and rendering them insufficient to encapsulate a holistic investigation of digital transformation in public services. Consequently, it is advisable for subsequent research to explore a wider array of data sources from other esteemed databases to facilitate a more thorough analysis and yield novel insights.",2025,9.0,Government operating logic and processes,,,
{The Virtual State: Transforming American Government?},Discusses the role of information technology in the United States government. How innovative governments are using the Internet; Challenges posed by the promise of the virtual state.,2001,4.0,Leadership,,,"By drawing on four dimensions, data, technology, organization, and institutions, the results show how the organization's DDDM practices are enabled or constrained by nine types of determinants: data quality/coverage, compatibility/interoperability, external data, information technologies/software, analytical techniques, cooperation, culture, privacy/confidentiality, and public procurement."
{Towards data-driven decision-making in government: Identifying opportunities and challenges for data use and analytics},"Despite the growing body of literature on data-driven decision-making (DDDM) and, more recently, big data, empirical analyses on processes and strategies of government agencies toward DDDM are still scarce. To mitigate this gap in the literature, this study identifies and explains opportunities and challenges of data use and analytics found in a case of a U.S. state-government agency that is in charge of water quality management and has started to implement Evidence-Based Policy Making (EBPM). By drawing on four dimensions, data, technology, organization, and institutions, the results show how the organization's DDDM practices are enabled or constrained by nine types of determinants: data quality/coverage, compatibility/interoperability, external data, information technologies/software, analytical techniques, cooperation, culture, privacy/confidentiality, and public procurement. Overall, the findings imply that either quality data or advanced analytic techniques alone do not guarantee effective DDDM; organizational and institutional support is also needed for successful implementation.",2021,3.0,Departmental responsibilities and administrative power,"This study focuses on the impact of digital transformation on public service delivery in Zimbabwe, considering the country's unique socio-political and economic context.","Employing a quantitative methodology with stratified random sampling techniques, the research finds that the adoption of digital technologies in Zimbabwe has streamlined processes, improved resource utilization, and enhanced responsiveness to citizen inquiries and feedback.","Employing a quantitative methodology with stratified random sampling techniques, the research finds that the adoption of digital technologies in Zimbabwe has streamlined processes, improved resource utilization, and enhanced responsiveness to citizen inquiries and feedback."
